caseType,season,pitcher,team,role,full_bbe,full_lbi_events,full_hr,current_getting_cooked_plus,lbi_event_rate_plus,lbi_severity_per_event_plus,lbi_per_bbe_plus,lbi_blend_plus,actual_hr_per_bbe_plus,barrel_rate_plus,adjusted_xhr_per_bbe_allowed,rate_rank,severity_rank,blend_rank
"High severity, lower frequency",2025,Reese Olson,DET,SP,189,8.0,5,74.4,76.10235651293914,105.03695225171614,79.94193503324978,79.93559587292665,58.28166519043401,85.83674990682071,0.0309,268.0,54.0,255.0
"High severity, lower frequency",2025,Pablo López,MIN,SP,215,9.0,6,90.6,75.26169094680785,104.97301076909936,79.0107282609638,79.00446294259888,61.48037983809504,70.06674236580017,0.0301,273.0,55.0,260.0
"High frequency, lower severity",2025,Chad Green,TOR,RP,139,16.0,14,165.1,206.95460979777695,95.12447065219465,196.8800890724505,196.8644770604503,221.88962027897608,191.7432434968909,0.0938,3.0,255.0,7.0
"High frequency, lower severity",2025,Anthony DeSclafani,AZ,RP,116,12.0,11,159.4,185.99153509843316,97.13373713482078,180.6748557801929,180.66052879552998,208.9096240188143,99.8962175639724,0.0905,8.0,216.0,10.0
"High frequency, lower severity",2025,Jordan Romano,PHI,RP,120,12.0,10,118.0,179.79181726181872,90.33698780184501,162.43139236019599,162.41851202852465,183.5872453498671,115.87961237420797,0.0685,9.0,296.0,26.0
"High frequency, lower severity",2025,Génesis Cabrera,MIN,RP,132,13.0,12,115.7,177.0676988184578,95.84776918368861,169.72889826481057,169.7154392623844,200.2769949271278,131.6813776979636,0.0741,11.0,248.0,18.0
"High frequency, lower severity",2025,Ryan Zeferjahn,LAA,RP,145,14.0,12,124.3,173.59209942520428,90.44865414079955,157.0241691796327,157.0117176248559,182.3211264164198,119.87546107676687,0.0639,13.0,294.0,32.0
"High frequency, lower severity",2025,Tanner Gordon,COL,SP,253,24.0,16,120.8,170.55350254085567,99.42444057628859,169.58531340108073,169.5718657845119,139.32312690582802,132.82643315620675,0.0538,14.0,171.0,19.0
"High frequency, lower severity",2025,Luis Morales,ATH,SP,136,12.0,8,110.9,158.6398387604283,92.77277532347048,147.18625262365714,147.17458118672795,129.59099671755325,127.80839600096466,0.0581,25.0,278.0,40.0
"High frequency, lower severity",2025,Shane Bieber,TOR,SP,114,10.0,8,97.4,157.71212040510412,96.72574668327753,152.5603236568226,152.54822607186668,154.59978555778284,142.30829589815013,0.0624,26.0,222.0,34.0
"High frequency, lower severity",2025,Max Scherzer,TOR,SP,251,22.0,19,140.4,157.5864533768929,96.66637900373038,152.34519880603216,152.33311827984417,166.76450972019805,143.11824635858355,0.0726,28.0,225.0,36.0
"High frequency, lower severity",2025,Bailey Ober,MIN,SP,468,41.0,30,137.0,157.50992537894373,99.81479931751814,157.2306838529483,157.21821592216526,141.22095796143623,126.2790647667651,0.0685,29.0,157.0,31.0
"High frequency, lower severity",2025,Brandon Walter,HOU,SP,152,13.0,10,96.9,153.76931739497653,90.46611007487188,139.12015175477288,139.10911993591859,144.9372989604214,83.8602457971242,0.0612,33.0,293.0,54.0
"High frequency, lower severity",2025,Landon Knack,LAD,SP,118,10.0,10,119.0,152.36594683204973,95.60994308589586,145.68854772174464,145.67699504840914,186.69889357613604,186.5858165347416,0.0705,35.0,251.0,42.0
"High frequency, lower severity",2025,Sean Manaea,NYM,SP,169,14.0,13,126.9,148.9399669624534,93.91078549278677,139.88178510127563,139.8706928871371,169.4651495537235,102.85172695935618,0.0598,36.0,269.0,52.0
"High frequency, lower severity",2025,Jordan Leasure,CWS,RP,157,13.0,12,109.8,148.8722053760282,88.55393798778366,131.84265516451322,131.83220042973394,168.38575369669343,125.4747395134736,0.0765,37.0,301.0,68.0
"High frequency, lower severity",2025,Shota Imanaga,CHC,SP,411,34.0,31,156.6,148.7328901922588,99.03005868953193,147.3019490593472,147.29026844803096,166.16655783491623,138.1533091565983,0.0799,38.0,179.0,39.0
"High frequency, lower severity",2025,Edwin Uceta,TB,RP,182,15.0,11,133.7,148.1800691718286,91.68433701201083,135.86868799147115,135.85791400413007,133.15118893506846,108.23919837151294,0.0617,39.0,287.0,59.0
"High frequency, lower severity",2025,Jake Irvin,WSH,SP,592,48.0,38,119.4,145.77714913120437,99.44900447270214,144.98542047708216,144.97392355966912,141.41179709381657,138.97723781366156,0.061,42.0,167.0,44.0
"High frequency, lower severity",2025,Bryan Baker,TB,RP,174,14.0,13,141.0,144.6600828543369,99.51212722448446,143.96574175294168,143.95432569305237,164.59546134815676,146.5144524271595,0.0621,43.0,164.0,45.0
"High frequency, lower severity",2025,Cole Ragans,KC,SP,137,11.0,7,106.7,144.35839342189823,96.72458254115568,139.641126531072,139.6300534004502,112.5644424042981,109.9587562674966,0.057,44.0,223.0,53.0
"High frequency, lower severity",2025,Dylan Lee,ATL,RP,175,14.0,13,99.2,143.83345380945497,96.14362151158443,138.29765803512345,138.286691437602,163.6549158547387,119.19045844204247,0.0531,45.0,243.0,56.0
"High frequency, lower severity",2025,Chase Lee,DET,RP,101,8.0,7,140.5,142.40936020738116,99.75626528031326,142.07352516515132,142.06225915247202,152.68642187513703,160.62520527117937,0.0752,46.0,160.0,48.0
"High frequency, lower severity",2025,Jacob Lopez,ATH,SP,241,19.0,15,128.5,141.7445862230106,96.93207247190736,137.40686100263062,137.39596504269383,137.11910441068915,76.93252273806338,0.0664,49.0,220.0,57.0
"High frequency, lower severity",2025,Yu Darvish,SD,SP,203,16.0,14,145.5,141.70783626547288,93.513680925641,132.5267228312573,132.5162138519241,151.93427201368314,102.75039520865732,0.0707,50.0,273.0,66.0
"High frequency, lower severity",2025,Kyle Hart,SD,RP,127,10.0,9,108.9,141.56836004867617,94.43387278187187,133.69908697211062,133.68848502774915,156.12143699043818,91.2437892710299,0.0516,52.0,267.0,64.0
"High frequency, lower severity",2025,David Festa,MIN,SP,153,12.0,10,147.0,141.01319000926958,99.56539072430624,140.41146782195804,140.40033360553764,143.98999635283698,136.3289557343623,0.0739,53.0,161.0,51.0
Top inverted-LBI per BBE,2025,Anthony Molina,COL,RP,127,19.0,12,137.9,268.9798840924847,101.25123226414907,272.3670450919111,272.34544718632065,208.1619159872509,127.74130497944185,0.0913,1.0,118.0,1.0
