target,scenario,split,exclude_2020,model,features,n,periods,weighted_rmse,rmse,weighted_mae,mae,pearson,spearman,oos_r2
kbb,season_to_next,reliever,False,CCR_floor,CCR_floor,1520,9,1.4416638406445939,1.5462303954360346,0.9443498895799066,0.9909334604056986,0.33313603169970485,0.3534344706827777,0.11234094559859498
kbb,season_to_next,reliever,False,CSS,CSS,1520,9,1.4368434303014188,1.5439746666885148,0.9401453767538924,0.9894407907666776,0.3371112594656198,0.3805469255601864,0.11826705297518525
kbb,season_to_next,all,True,raw_KBB_ratio,kbb_ratio,2032,7,1.1776284234436665,1.2790288820628781,0.8322357871446857,0.8816307104800887,0.4701958518211096,0.48156276759873606,0.25132285364397555
kbb,season_to_next,all,True,K_pct,k_pct,2032,7,1.2762495891786225,1.3923600138276095,0.9160027555756081,0.9891281321323526,0.3099398393016631,0.32605938593380424,0.12067534915048983
kbb,season_to_next,all,True,BB_pct,bb_pct,2032,7,1.2906840552126497,1.3773844615664335,0.9153809286136335,0.9451481808478971,0.3091262058005261,0.335793697142015,0.10067242985079539
kbb,season_to_next,all,True,KBB,kbb,2032,7,1.2038571993974854,1.3196661941696075,0.8610439355255394,0.9303884120814485,0.4238159744654476,0.4458578888948111,0.217601577235771
kbb,season_to_next,all,True,KBB_reg_direct,KBB_reg_direct,2032,7,1.182148019290247,1.2941170900596162,0.8401898334652891,0.8985885149394482,0.4461330681459544,0.46100137139232605,0.24556516097179415
kbb,season_to_next,all,True,KBB_reg_component,KBB_reg_component,2032,7,1.1608886427402683,1.2679692556853306,0.8250560723017215,0.8726054654420178,0.47661942502130494,0.49492509752229086,0.27245620267011683
kbb,season_to_next,all,True,CCR,CCR,2032,7,1.1812938934468333,1.2835451279284116,0.8347519736476812,0.8715835503870885,0.4571395262838022,0.45499263050161304,0.2466549559772543
kbb,season_to_next,all,True,CCR_floor,CCR_floor,2032,7,1.1809610847669763,1.2834282000799593,0.833802662222971,0.871152061496946,0.45724154978376697,0.45480892675339496,0.24707937948953418
kbb,season_to_next,all,True,CSS,CSS,2032,7,1.1622643279292468,1.2680292719882198,0.8265349763893836,0.8676142191344663,0.4759847842236278,0.4900541845895433,0.2707308618932176
kbb,season_to_next,starter,True,raw_KBB_ratio,kbb_ratio,775,7,1.0462592971724887,1.039879869753745,0.7746102888410574,0.7728500711492418,0.6167388255691458,0.5799029315222157,0.36324793146818224
kbb,season_to_next,starter,True,K_pct,k_pct,775,7,1.1394673701436657,1.145924338244233,0.8554250931400845,0.8665879960197889,0.49888843502427377,0.4796762717439111,0.24474172820378726
kbb,season_to_next,starter,True,BB_pct,bb_pct,775,7,1.2233473745013548,1.2260165234277232,0.902313815539281,0.8992879853466292,0.39672175468470416,0.40516936218003874,0.12945486554649843
kbb,season_to_next,starter,True,KBB,kbb,775,7,1.0544231976618847,1.0588947340359258,0.7906758680967299,0.7940182166701362,0.5977978001988334,0.580567859692838,0.3532720834760664
kbb,season_to_next,starter,True,KBB_reg_direct,KBB_reg_direct,775,7,1.0589411153490547,1.069251843829653,0.786663495870281,0.7902297891315178,0.5864193114329136,0.5786739044307269,0.3477181025014242
kbb,season_to_next,starter,True,KBB_reg_component,KBB_reg_component,775,7,1.0426944122956998,1.0530895989078772,0.7758683202646187,0.7764875842346426,0.6036625149412964,0.5926993228277471,0.3675797078571523
