target,scenario,split,exclude_2020,model,features,n,periods,weighted_rmse,rmse,weighted_mae,mae,pearson,spearman,oos_r2
whip,season_to_next,reliever,False,KBB_reg_direct,KBB_reg_direct,1520,9,0.2189443172461276,0.24374574350017436,0.16963104343432467,0.1879996875952296,0.2958563296565149,0.28093639911502133,0.09630289728767483
whip,season_to_next,reliever,False,KBB_reg_component,KBB_reg_component,1520,9,0.21995787002730174,0.24439214161010953,0.16983994447919634,0.18812151766319946,0.2827721694765946,0.2751568378463833,0.08791661166116949
whip,season_to_next,reliever,False,CCR,CCR,1520,9,0.2248247782263557,0.24839128376682376,0.1735835844377004,0.19124289256525487,0.21825593886123337,0.21796784816741974,0.047107557809876965
whip,season_to_next,reliever,False,WSI_raw,wsi_raw,1520,9,0.21999139582774496,0.24434041930250888,0.17031748598920446,0.1885012875508282,0.2846620502560986,0.27842408249135286,0.08763855244898444
whip,season_to_next,reliever,False,WSI_xWHIP_lgBABIP,wsi_xlgbabip,1520,9,0.2194032778120866,0.24383596658147805,0.17012414781397484,0.18827070260824116,0.2916544413994416,0.2841150163855661,0.09251018817076728
whip,season_to_next,reliever,False,WSI_reg_tuned,WSI_reg_tuned,1520,9,0.2201721055068997,0.24424130179544482,0.170075820539393,0.18809826766330368,0.2841924267779021,0.2731867262842382,0.08613903688592284
whip,season_to_next,reliever,False,WAI,WAI,1520,9,0.22156973294358834,0.24568459030352172,0.17114080874686755,0.1891023626791775,0.2632088188434279,0.26536856269585457,0.07450004174277103
whip,season_to_next,reliever,False,xWAI_ratio,xWAI_ratio,1520,9,0.22039774246542454,0.24450109321652694,0.1704178692196723,0.18844301331096774,0.2805331666463744,0.2739787124819572,0.08426498960642981
whip,season_to_next,reliever,False,KBB_best_plus_pWHIP,KBB_reg_component+pWHIP,1520,9,0.2201382502080828,0.2445074014775969,0.17000914216834137,0.18823840085433305,0.2810130966154461,0.2728562321485279,0.08642005938152075
whip,season_to_next,reliever,False,KBB_best_plus_pWHIP_plus_logTBF,KBB_reg_component+pWHIP+log_current_tbf,1520,9,0.22096164560926315,0.24552904502539147,0.1703296518252349,0.18876878715120837,0.2673703827249523,0.2592891418803509,0.07957304993153458
whip,season_to_next,all,True,WHIP,whip,2032,7,0.1880117343100668,0.2088383109831774,0.14698791770335512,0.16258307419637547,0.27282640941583797,0.28053153012123017,0.08573811492109684
whip,season_to_next,all,True,WHIP_reg,WHIP_reg,2032,7,0.1860388832726884,0.20690870758203792,0.145841391153425,0.16147894430267373,0.29480883878958675,0.29229097610659965,0.10482457438240744
