target,scenario,split,exclude_2020,model,features,n,periods,weighted_rmse,rmse,weighted_mae,mae,pearson,spearman,oos_r2
era,season_to_next,starter,False,KBB_reg_best,KBB_reg_direct,812,9,0.9370013615439321,1.0246877129176335,0.7240548088194253,0.7860900034784564,0.38603320742247504,0.3899133705763295,0.16789386900545789
era,season_to_next,starter,False,CCR,CCR,812,9,1.0019572816569968,1.0786061479928246,0.7863897211811229,0.8414552350406481,0.23687966514311382,0.22880495648957286,0.048526516120237395
era,season_to_next,starter,False,WAI,WAI,812,9,0.9654089444708045,1.0530753595898137,0.7441246429386236,0.8071958087207544,0.32144599124235257,0.3261597042729354,0.11667420194223177
era,season_to_next,starter,False,HR9,hr9,812,9,1.0243648125279565,1.1052552242387839,0.8085154202810013,0.8647682372809442,0.08777514025436617,0.11390745341292606,0.005493601558724359
era,season_to_next,starter,False,HR9_reg,HR9_reg,812,9,0.9645843073144297,1.0557039230365002,0.752947151597715,0.8144791050314047,0.30518440108692824,0.3298188450789172,0.11818260348454879
era,season_to_next,starter,False,EDF,EDF,812,9,0.9390671583331157,1.023975388508221,0.7311463829019734,0.7898951537982897,0.3852506756313597,0.3906934240995107,0.16422075361209454
era,season_to_next,starter,False,EDF_z,EDF_z,812,9,0.9524176597230081,1.0425061832749765,0.7365681218618843,0.8000845395779883,0.3434432391575099,0.3530673650602996,0.14028766691019212
era,season_to_next,starter,False,KBB_best_plus_pWHIP_plus_HR9_reg,KBB_reg_component+pWHIP+HR9_reg,812,9,0.935708183944585,1.020976642861611,0.7283431715342239,0.7876422906449506,0.3907309458561084,0.3947210688915459,0.17018910251198416
era,season_to_next,starter,False,KBB_best_plus_pWHIP_plus_HR9_reg_plus_ERA_reg,KBB_reg_component+pWHIP+HR9_reg+ERA_reg,812,9,0.9390671583331154,1.0239753885082212,0.7311463829019728,0.7898951537982898,0.3852506756313591,0.3906934240995107,0.16422075361209498
era,season_to_next,reliever,False,ERA,era,1520,9,1.3209566148421392,1.5008396004596263,1.0159446525762152,1.14290763189909,0.09209676196947014,0.0903782015302147,0.006195444558189878
era,season_to_next,reliever,False,ERA_reg,ERA_reg,1520,9,1.3184379691605232,1.4962211996745063,1.0139452607223982,1.1395993135194535,0.11665375803413919,0.10144308781203222,0.009981572384489601
era,season_to_next,reliever,False,WHIP,whip,1520,9,1.3149083006686044,1.4964158536299,1.0067078684896613,1.1347552737520354,0.1273178507143763,0.12700458133589937,0.01527535085555587
era,season_to_next,reliever,False,WHIP_reg,WHIP_reg,1520,9,1.3141496030274644,1.4933827040643355,1.0040405507638102,1.1314678234489453,0.14299435726845558,0.13216477067541715,0.016411388598457033
