kind,target,scenario,split,exclude_2020,model,bucket,n,avg_score,future_value
decile,era,season_to_next,starter,False,KBB_best_plus_pWHIP_plus_HR9_reg_plus_ERA_reg,8,81,0.1303894540876257,4.39695513820428
decile,era,season_to_next,starter,False,KBB_best_plus_pWHIP_plus_HR9_reg_plus_ERA_reg,9,81,0.12147307509844377,4.49914089347079
decile,era,season_to_next,starter,False,KBB_best_plus_pWHIP_plus_HR9_reg_plus_ERA_reg,10,82,0.10560727713638686,4.567403277807631
decile,era,season_to_next,starter,False,KBB_reg_best,1,82,0.19617388229797758,3.24580156813804
decile,era,season_to_next,starter,False,KBB_reg_best,2,81,0.17163821801924925,3.649620748715439
decile,era,season_to_next,starter,False,KBB_reg_best,3,81,0.16214326315057762,3.622927669669839
decile,era,season_to_next,starter,False,KBB_reg_best,4,81,0.15528815871784285,3.9297052807467376
decile,era,season_to_next,starter,False,KBB_reg_best,5,81,0.1488054621567245,4.039137931034483
decile,era,season_to_next,starter,False,KBB_reg_best,6,81,0.14304520542060442,4.194341091978888
decile,era,season_to_next,starter,False,KBB_reg_best,7,81,0.1376406279598729,4.216768619719943
decile,era,season_to_next,starter,False,KBB_reg_best,8,81,0.13181638789268627,4.476845790835744
decile,era,season_to_next,starter,False,KBB_reg_best,9,81,0.12546561924179075,4.58539143701726
decile,era,season_to_next,starter,False,KBB_reg_best,10,82,0.11149580157562375,4.648656716417912
decile,era,season_to_next,starter,False,WAI,1,82,0.9376896440752013,3.221301154249738
decile,era,season_to_next,starter,False,WAI,2,81,1.0721625389116014,3.699585598191701
decile,era,season_to_next,starter,False,WAI,3,81,1.1381711864959707,3.762264771139782
decile,era,season_to_next,starter,False,WAI,4,81,1.1883031121442926,3.9500503047878324
decile,era,season_to_next,starter,False,WAI,5,81,1.2385661405005963,4.151775029916235
decile,era,season_to_next,starter,False,WAI,6,81,1.2789682624461614,4.286490683229814
decile,era,season_to_next,starter,False,WAI,7,81,1.3194488791426213,4.325425402172019
decile,era,season_to_next,starter,False,WAI,8,81,1.3680907741097876,4.276056604368243
decile,era,season_to_next,starter,False,WAI,9,81,1.439385068978535,4.404230240324799
decile,era,season_to_next,starter,False,WAI,10,82,1.5670241922613397,4.544679149730126
decile,era,season_to_next,starter,False,WHIP,1,82,0.9628559816200033,3.4030155403750375
decile,era,season_to_next,starter,False,WHIP,2,81,1.0790386241988157,3.5159025090340603
decile,era,season_to_next,starter,False,WHIP,3,81,1.1447468385731014,3.972925691436188
decile,era,season_to_next,starter,False,WHIP,4,81,1.190857081646734,3.9961007035687044
decile,era,season_to_next,starter,False,WHIP,5,81,1.2302688184030344,4.070696518817583
decile,era,season_to_next,starter,False,WHIP,6,81,1.2733324103114076,4.245268069372303
decile,era,season_to_next,starter,False,WHIP,7,81,1.3151103816135654,4.357283188324446
decile,era,season_to_next,starter,False,WHIP,8,81,1.3707205081725256,4.266151685393258
decile,era,season_to_next,starter,False,WHIP,9,81,1.4456734522215526,4.399257751705973
decile,era,season_to_next,starter,False,WHIP,10,82,1.5883913420680518,4.366803822670561
decile,era,season_to_next,starter,False,WHIP_reg,1,82,1.0987941346769887,3.3841107871720117
decile,era,season_to_next,starter,False,WHIP_reg,2,81,1.1639190839663687,3.6103010348071494
decile,era,season_to_next,starter,False,WHIP_reg,3,81,1.1977618838105968,3.8640038809831823
decile,era,season_to_next,starter,False,WHIP_reg,4,81,1.2212490338396458,4.073116841585022
decile,era,season_to_next,starter,False,WHIP_reg,5,81,1.242003136113529,4.064762227685005
decile,era,season_to_next,starter,False,WHIP_reg,6,81,1.2626004114064264,4.22066225165563
decile,era,season_to_next,starter,False,WHIP_reg,7,81,1.28321937906784,4.3028961561243255
decile,era,season_to_next,starter,False,WHIP_reg,8,81,1.3078112613234008,4.339598185353208
decile,era,season_to_next,starter,False,WHIP_reg,9,81,1.3419645943682552,4.426187215339046
decile,era,season_to_next,starter,False,WHIP_reg,10,82,1.4029970336535893,4.304038904853634
decile,era,season_to_next,starter,False,pWHIP,1,82,1.0280083469500727,3.2366906474820145
decile,era,season_to_next,starter,False,pWHIP,2,81,1.1222966214104775,3.7126870595687405
decile,era,season_to_next,starter,False,pWHIP,3,81,1.1714987877692238,3.6824778285407147
decile,era,season_to_next,starter,False,pWHIP,4,81,1.208799078207593,4.099604480541047
decile,era,season_to_next,starter,False,pWHIP,5,81,1.2432819121017413,4.134691932499859
decile,era,season_to_next,starter,False,pWHIP,6,81,1.2739856854094038,4.256870051234281
decile,era,season_to_next,starter,False,pWHIP,7,81,1.3077754167085867,4.34255033557047
decile,era,season_to_next,starter,False,pWHIP,8,81,1.3434183178916743,4.301965125934127
decile,era,season_to_next,starter,False,pWHIP,9,81,1.3945987653305334,4.326204076333896
decile,era,season_to_next,starter,False,pWHIP,10,82,1.5007271193881582,4.534720812182741
decile,era,season_to_next,starter,False,xWHIP_lgBABIP,1,82,1.0198547789063253,3.2226450999048524
decile,era,season_to_next,starter,False,xWHIP_lgBABIP,2,81,1.1181501743514406,3.71799674267101
decile,era,season_to_next,starter,False,xWHIP_lgBABIP,3,81,1.1679346390364465,3.6896651118914106
decile,era,season_to_next,starter,False,xWHIP_lgBABIP,4,81,1.206969566880837,4.0972475391906675
decile,era,season_to_next,starter,False,xWHIP_lgBABIP,5,81,1.2437692369367979,4.197121526102137
decile,era,season_to_next,starter,False,xWHIP_lgBABIP,6,81,1.2752659723862596,4.208124892185614
decile,era,season_to_next,starter,False,xWHIP_lgBABIP,7,81,1.3102033953818004,4.311930701911056
decile,era,season_to_next,starter,False,xWHIP_lgBABIP,8,81,1.3483020623518156,4.313833847281165
decile,era,season_to_next,starter,False,xWHIP_lgBABIP,9,81,1.402832328305581,4.378089070966038
decile,era,season_to_next,starter,False,xWHIP_lgBABIP,10,82,1.5134133939756527,4.496376082142139
decile,era,season_to_next,starter,True,CCR,1,78,4.489964396330038,3.479415526108133
decile,era,season_to_next,starter,True,CCR,2,77,3.765326730582657,3.9124412141941
decile,era,season_to_next,starter,True,CCR,3,78,3.4477043116585104,3.8907541969431216
decile,era,season_to_next,starter,True,CCR,4,77,3.241854828283577,3.9702660406885757
decile,era,season_to_next,starter,True,CCR,5,78,3.0540239761614365,4.237719847458593
decile,era,season_to_next,starter,True,CCR,6,77,2.9112401079312242,3.848667948365834
decile,era,season_to_next,starter,True,CCR,7,77,2.756517239882112,4.235244519392918
decile,era,season_to_next,starter,True,CCR,8,78,2.586789080067535,4.244585200061795
decile,era,season_to_next,starter,True,CCR,9,77,2.403330919111061,4.460656399219854
